size DFS BFS
5 7 4
105 16 17
205 26 32
305 37 148
405 49 57
505 65 92
605 90 214
705 178 144
805 153 219
905 101 127
1005 285 271
1105 99 124
1205 270 259
1305 219 281
1405 242 187
1505 285 173
1605 228 232
1705 226 237
1805 242 241
1905 221 298
2005 201 249
2105 373 326
2205 341 354
2305 253 373
2405 379 373
2505 251 521
2605 428 586
2705 239 321
2805 250 332
2905 251 568
3005 635 495
3105 287 391
3205 560 636
3305 432 714
3405 292 560
3505 476 722
3605 661 686
3705 509 1115
3805 617 725
3905 657 674
4005 736 621
4105 479 674
4205 622 765
4305 362 583
4405 496 719
4505 378 592
4605 1425 1428
4705 795 535
4805 582 951
4905 843 1072
5005 420 873
5105 653 703
5205 812 772
